family,claim_id,claim,sample,predictor,outcome,method,null_hypothesis,estimate,ci_low,ci_high,p_value,n,notes,q_value_bh,reject_fdr_0_05,source_table,supported_uncorrected,supported_fdr
human_pair_level,H3,Human duration is more strongly associated with human difficulty than raw board size is.,110 public-eval task pairs with >=8 attempts,human duration vs input cells,difference in correlations with human difficulty,Bootstrap difference of correlations,Human difficulty is equally associated with duration and board size.,0.4868332489794883,0.2552160368252617,0.7128978340720824,0.000125,110,"Raw correlations: duration=0.391, input_cells=-0.096",0.000357113097718,True,statistical_hypothesis_key_tests.csv,True,True
human_pair_level,H4,Human-over-LLM advantage shrinks when public-eval tasks expose more test pairs.,110 public-eval task pairs with >=8 attempts,number of test pairs,human solve rate minus average-model pass rate,Pearson r with bootstrap CI and permutation p-value,Human-over-LLM gap is unrelated to the number of test pairs.,-0.3658362225696993,-0.5393886478156964,-0.1649474826445462,0.0003333055578701,110,,0.0006249479210065,True,statistical_hypothesis_key_tests.csv,True,True
human_pair_level,H5,Task identity explains a large share of pair-level human difficulty variation on multi-pair tasks.,90 pair rows across 44 multi-pair public-eval tasks,task fixed effects,human pair difficulty,Nested OLS ANOVA,Task identity does not improve fit over an intercept-only model.,0.7491876560342119,,,7.934369368859778e-05,90,Descriptive within-task ranges are reported separately.,0.000357113097718,True,statistical_hypothesis_key_tests.csv,True,True
thinking_advantage,T1,Thinking advantage declines as approved-item LLM difficulty rises under the legacy label schema.,56 approved eval rows,LLM logit difficulty,thinking advantage (thinking pass rate - standard pass rate),Pearson r with bootstrap CI and permutation p-value,Thinking advantage is unrelated to LLM difficulty.,-0.4918863449794687,-0.8129115765195065,-0.1645462955458594,0.000166652778935,56,Both-zero items under this schema: 0.,0.000357113097718,True,statistical_hypothesis_key_tests.csv,True,True
thinking_advantage,T2,Thinking-vs-standard success probability has a negative difficulty interaction under the legacy label schema.,56 approved eval rows,item difficulty x model-group interaction,binomial success probability,Grouped binomial GLM,Thinking and standard groups have the same difficulty slope (interaction = 0).,-0.7180275673509793,-1.1076567861277569,-0.3582270965708077,5.6966933699364085e-06,112,Likelihood-ratio p-value: 1.429e-05.,8.545040054904612e-05,True,statistical_hypothesis_key_tests.csv,True,True
alignment,N1,ARC-2 non-LLM difficulty aligns with ARC-2 LLM difficulty on the approved eval overlap.,20 approved ARC-2 eval tasks,non-LLM logit difficulty,LLM logit difficulty,Pearson r with bootstrap CI and permutation p-value,The non-LLM and LLM difficulty orderings are unrelated across approved ARC-2 tasks.,0.1134066276704947,-0.363533061258197,0.5182903750123774,0.6570285809515873,18,,0.7391571535705358,False,non_llm_complexity_key_tests.csv,False,False
alignment,N2,ARC-2 non-LLM difficulty aligns with human difficulty on the approved human-overlap tasks.,17 approved ARC-2 eval tasks with human difficulty,non-LLM logit difficulty,human difficulty,Pearson r with bootstrap CI and permutation p-value,Non-LLM difficulty and human difficulty are unrelated across the approved ARC-2 human-overlap tasks.,0.06216803572811,-0.3813266356919885,0.4398807030324348,0.8181818181818182,17,,0.8181818181818182,False,non_llm_complexity_key_tests.csv,False,False
alignment_difference,N3,Human difficulty is more strongly aligned with LLM difficulty than with non-LLM difficulty on the shared ARC-2 overlap.,17 approved ARC-2 eval tasks with human difficulty,human difficulty,corr(LLM difficulty) - corr(non-LLM difficulty),Bootstrap difference of correlations,Human difficulty is equally aligned with LLM and non-LLM difficulty.,0.4690413878428628,0.1090966637607756,0.8638679504658558,0.5181772279727341,17,"Raw correlations: llm=0.531, non_llm=0.062",0.7213562590390488,False,non_llm_complexity_key_tests.csv,False,False
complexity,N4,Cyclomatic complexity positively tracks non-LLM difficulty on approved ARC-2 eval tasks.,20 approved ARC-2 eval tasks,cyclomatic complexity,non-LLM logit difficulty,Pearson r with bootstrap CI and permutation p-value,Cyclomatic complexity is unrelated to ARC-2 non-LLM difficulty.,0.3523798800129734,-0.1570116747986355,0.6603963642717992,0.1483209732522289,18,,0.6674443796350304,False,non_llm_complexity_key_tests.csv,False,False
complexity_difference,N5,Cyclomatic complexity is more strongly associated with LLM difficulty than with non-LLM difficulty on approved ARC-2 eval tasks.,20 approved ARC-2 eval tasks,cyclomatic complexity,corr(LLM difficulty) - corr(non-LLM difficulty),Bootstrap difference of correlations,Cyclomatic complexity is equally associated with LLM and non-LLM difficulty.,0.1670801376283213,-0.1697550713533947,0.7417773322001286,0.5610548681414823,18,"Raw correlations: llm=0.519, non_llm=0.352",0.7213562590390488,False,non_llm_complexity_key_tests.csv,False,False
residual,N6,Non-LLM difficulty retains a positive residual relationship with cyclomatic complexity after controlling LLM difficulty.,20 approved ARC-2 eval tasks,cyclomatic complexity,residual non-LLM difficulty after LLM,Partial correlation with bootstrap CI,"After controlling LLM difficulty, cyclomatic complexity is unrelated to the remaining non-LLM difficulty variation.",0.3456723815401996,-0.0444533064947265,0.6576634385327083,0.5083431653463678,18,,0.7213562590390488,False,non_llm_complexity_key_tests.csv,False,False
metric_comparison,N7,"For ARC-2 non-LLM difficulty, structural complexity is more informative than runtime intensity.",20 approved ARC-2 eval tasks,non-LLM logit difficulty,corr(cyclomatic) - corr(runtime),Bootstrap difference of correlations,Non-LLM difficulty is equally associated with cyclomatic complexity and runtime intensity.,0.3558900901410393,-0.0657094428178647,0.8168265350835874,0.495313085864267,18,"Raw correlations: cyclomatic=0.352, runtime=-0.004",0.7213562590390488,False,non_llm_complexity_key_tests.csv,False,False
arc1_sidecar,N8,ARC-1 non-LLM difficulty positively tracks cyclomatic complexity on the approved ARC-1 eval subset.,39 approved ARC-1 eval tasks,cyclomatic complexity,ARC-1 non-LLM logit difficulty,Pearson r with bootstrap CI and permutation p-value,Cyclomatic complexity is unrelated to ARC-1 non-LLM difficulty on the approved subset.,0.2550418807605887,-0.0422305878692411,0.5071680576239451,0.1249895842013165,38,,0.6674443796350304,False,non_llm_complexity_key_tests.csv,False,False
arc1_sidecar,N9,CompressARC search-depth difficulty positively tracks cyclomatic complexity on approved ARC-1 eval tasks.,39 approved ARC-1 eval tasks,cyclomatic complexity,CompressARC rank-based difficulty,Pearson r with bootstrap CI and permutation p-value,CompressARC rank-based difficulty is unrelated to cyclomatic complexity on the approved ARC-1 subset.,0.1131993424396895,-0.21053677111672,0.3991759564903422,0.498708440963253,38,,0.7213562590390488,False,non_llm_complexity_key_tests.csv,False,False
non_llm_overlap_supplement,O_cyclomatic_complexity_difficulty_weighted,"On the 17-task ARC-2 overlap, cyclomatic complexity correlates with human difficulty.","17 approved ARC-2 eval tasks with human, LLM, and non-LLM outcomes",Cyclomatic complexity,human difficulty,Pearson r with Fisher-z CI,Cyclomatic complexity is unrelated to human difficulty on the 17-task overlap.,0.15017735961627515,-0.35617695808782074,0.5883536079998648,0.5650803414994117,17,Supplemental overlap-only check; no separate FDR family defined.,,False,derived_from_non_llm_task_outcomes.csv,False,False
non_llm_overlap_supplement,O_cyclomatic_complexity_logit_difficulty_all,"On the 17-task ARC-2 overlap, cyclomatic complexity correlates with LLM difficulty.","17 approved ARC-2 eval tasks with human, LLM, and non-LLM outcomes",Cyclomatic complexity,LLM difficulty,Pearson r with Fisher-z CI,Cyclomatic complexity is unrelated to LLM difficulty on the 17-task overlap.,0.5908291579590985,0.15388428971834828,0.8344949349596328,0.012509718979112716,17,Supplemental overlap-only check; no separate FDR family defined.,,False,derived_from_non_llm_task_outcomes.csv,True,False
non_llm_overlap_supplement,O_cyclomatic_complexity_arc2_non_llm_logit_difficulty,"On the 17-task ARC-2 overlap, cyclomatic complexity correlates with non-LLM difficulty.","17 approved ARC-2 eval tasks with human, LLM, and non-LLM outcomes",Cyclomatic complexity,non-LLM difficulty,Pearson r with Fisher-z CI,Cyclomatic complexity is unrelated to non-LLM difficulty on the 17-task overlap.,0.35578309504426275,-0.15061817453179183,0.7142818855197706,0.16104744840655863,17,Supplemental overlap-only check; no separate FDR family defined.,,False,derived_from_non_llm_task_outcomes.csv,False,False
non_llm_overlap_supplement,O_complexity_pc1_score_difficulty_weighted,"On the 17-task ARC-2 overlap, complexity pc1 correlates with human difficulty.","17 approved ARC-2 eval tasks with human, LLM, and non-LLM outcomes",Complexity PC1,human difficulty,Pearson r with Fisher-z CI,Complexity PC1 is unrelated to human difficulty on the 17-task overlap.,0.13540866647631444,-0.36926943461192246,0.5784085959044523,0.604335865358151,17,Supplemental overlap-only check; no separate FDR family defined.,,False,derived_from_non_llm_task_outcomes.csv,False,False
non_llm_overlap_supplement,O_complexity_pc1_score_logit_difficulty_all,"On the 17-task ARC-2 overlap, complexity pc1 correlates with LLM difficulty.","17 approved ARC-2 eval tasks with human, LLM, and non-LLM outcomes",Complexity PC1,LLM difficulty,Pearson r with Fisher-z CI,Complexity PC1 is unrelated to LLM difficulty on the 17-task overlap.,0.5353600578270645,0.0736725711080281,0.8080730698393386,0.026783929576572385,17,Supplemental overlap-only check; no separate FDR family defined.,,False,derived_from_non_llm_task_outcomes.csv,True,False
non_llm_overlap_supplement,O_complexity_pc1_score_arc2_non_llm_logit_difficulty,"On the 17-task ARC-2 overlap, complexity pc1 correlates with non-LLM difficulty.","17 approved ARC-2 eval tasks with human, LLM, and non-LLM outcomes",Complexity PC1,non-LLM difficulty,Pearson r with Fisher-z CI,Complexity PC1 is unrelated to non-LLM difficulty on the 17-task overlap.,0.38788718283012175,-0.114013866033869,0.7320512777132051,0.12393930405718753,17,Supplemental overlap-only check; no separate FDR family defined.,,False,derived_from_non_llm_task_outcomes.csv,False,False
