model_name,datasets_present,legacy_label,strict_label,maximal_label,verified_label,evidence,certainty
claude-sonnet-4-5-20250929-thinking-1k,arc_agi_1_eval|arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
claude-sonnet-4-5-20250929-thinking-32k,arc_agi_1_eval|arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
claude-sonnet-4-5-20250929-thinking-8k,arc_agi_1_eval|arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
gemini-3-deep-think-preview,arc_agi_1_eval|arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_reasoning_name,high
gemini-3-flash-preview-thinking-high,arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
gemini-3-flash-preview-thinking-low,arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
gemini-3-flash-preview-thinking-medium,arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
gemini-3-flash-preview-thinking-minimal,arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
gemini-3-pro-preview,arc_agi_1_eval|arc_agi_2_eval,Thinking,Standard,Thinking,Thinking,ambiguous_gemini_pro,low
gpt-4-1-2025-04-14,arc_agi_1_eval|arc_agi_2_eval,Standard,Standard,Standard,Standard,plain_standard_name,high
gpt-4-1-mini-2025-04-14,arc_agi_1_eval|arc_agi_2_eval,Standard,Standard,Standard,Standard,plain_standard_name,high
gpt-4-1-nano-2025-04-14,arc_agi_1_eval|arc_agi_2_eval,Standard,Standard,Standard,Standard,plain_standard_name,high
gpt-4-5-2025-02-27,arc_agi_1_eval,Standard,Standard,Standard,Standard,plain_standard_name,high
gpt-5-1-2025-11-13-thinking-high,arc_agi_1_eval|arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
gpt-5-1-2025-11-13-thinking-low,arc_agi_1_eval|arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
gpt-5-1-2025-11-13-thinking-medium,arc_agi_1_eval|arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
gpt-5-1-2025-11-13-thinking-none,arc_agi_1_eval|arc_agi_2_eval,Standard,Standard,Standard,Standard,explicit_thinking_none,high
gpt-5-2-2025-12-11-thinking-high,arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
gpt-5-2-2025-12-11-thinking-low,arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
gpt-5-2-2025-12-11-thinking-medium,arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
gpt-5-2-2025-12-11-thinking-none,arc_agi_2_eval,Standard,Standard,Standard,Standard,explicit_thinking_none,high
gpt-5-2-2025-12-11-thinking-xhigh,arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_thinking_tag,high
gpt-5-2-pro-2025-12-11-high,arc_agi_2_eval,Standard,Standard,Thinking,Thinking,ambiguous_budget_variant,low
gpt-5-2-pro-2025-12-11-medium,arc_agi_2_eval,Standard,Standard,Thinking,Thinking,ambiguous_budget_variant,low
gpt-5-pro-2025-10-06,arc_agi_1_eval|arc_agi_2_eval,Thinking,Standard,Thinking,Thinking,ambiguous_pro_variant,low
grok-4-fast-reasoning,arc_agi_1_eval|arc_agi_2_eval,Thinking,Thinking,Thinking,Thinking,explicit_reasoning_name,high
qwen3-235b-a22b-instruct-2507,arc_agi_1_eval|arc_agi_2_eval,Standard,Standard,Standard,Standard,plain_standard_name,high
